,MSG_TYPE,MMSI,NAME,IMO_NUMBER,CALL_SIGN,LAT_AVG,LON_AVG,PERIOD,SPEED_KNOTS,COG_DEG,HEADING_DEG,NAV_STATUS,NAV_SENSOR,SHIP_AND_CARGO_TYPE,DRAUGHT,DRAUGHT.1,DIM_BOW,DIM_STERN,DIM_PORT,DIM_STARBOARD,DESTINATION,MMSI_COUNTRY_CD,RECEIVER,BEAM,LENGTH,time_diff,new_voyage,voyage_id,num_pings,row_id,delta_t,pred_lat,pred_lon,error_nm,tcn_pred,cog_diff,channel_side,geometry,in_channel_north,in_channel_south,in_north,in_south,location,correct_side,prev_location,location_diff,row_score,voyage_score
5545,1,241745000,MARAN GAS ITHACA,9892717.0,SVDK7,22.658896,-78.46998,2023-06-18 23:40:00,19.6,109.1,108.0,0.0,1.0,80,11.4,11.4,235,60,25,21,FOR ORRDERS,,,46,295,6600.0,True,17_241745000,26,17_241745000_0,,,,,False,,Southeastbound,POINT (-78.46998 22.658896),False,False,False,True,south,,,,1.0,7.0
5546,1,241745000,MARAN GAS ITHACA,9892717.0,SVDK7,22.656453,-78.462264,2023-06-18 23:45:00,19.6,108.9,108.0,0.0,1.0,80,11.4,11.4,235,60,25,21,FOR ORRDERS,,,46,295,300.0,False,17_241745000,26,17_241745000_1,,,,,False,0.19999999999998863,Southeastbound,POINT (-78.462264 22.656453),False,False,False,True,south,,south,same,1.0,7.0
5547,1,241745000,MARAN GAS ITHACA,9892717.0,SVDK7,22.616851,-78.335979,2023-06-19 00:05:00,19.4,108.4,108.0,0.0,1.0,80,11.4,11.4,235,60,25,21,FOR ORRDERS,,,46,295,1200.0,False,17_241745000,26,17_241745000_2,,,,,False,0.5,Southeastbound,POINT (-78.335979 22.616851),False,False,False,True,south,,south,same,1.0,7.0
5548,1,241745000,MARAN GAS ITHACA,9892717.0,SVDK7,22.603635,-78.293432,2023-06-19 00:15:00,19.3,108.6,108.0,0.0,1.0,80,11.4,11.4,235,60,25,21,FOR ORRDERS,,,46,295,600.0,False,17_241745000,26,17_241745000_3,,,,,False,0.19999999999998863,Southeastbound,POINT (-78.293432 22.603635),False,False,False,True,south,,south,same,1.0,7.0
5549,1,241745000,MARAN GAS ITHACA,9892717.0,SVDK7,22.573205,-78.195712,2023-06-19 00:30:00,19.2,108.5,108.0,0.0,1.0,80,11.4,11.4,235,60,25,21,FOR ORRDERS,,,46,295,900.0,False,17_241745000,26,17_241745000_4,,,,,False,0.09999999999999432,Southeastbound,POINT (-78.195712 22.573205),False,False,False,True,south,,south,same,1.0,7.0
5550,1,241745000,MARAN GAS ITHACA,9892717.0,SVDK7,22.556293,-78.142074,2023-06-19 00:40:00,19.2,108.8,108.0,0.0,1.0,80,11.4,11.4,235,60,25,21,FOR ORRDERS,,,46,295,600.0,False,17_241745000,26,17_241745000_5,,,,,False,0.30000000000001137,Southeastbound,POINT (-78.142074 22.556293),False,False,False,True,south,,south,same,1.0,7.0
5551,1,241745000,MARAN GAS ITHACA,9892717.0,SVDK7,22.512521,-78.050762,2023-06-19 01:00:00,19.0,123.6,123.0,0.0,1.0,80,11.4,11.4,235,60,25,21,FOR ORRDERS,,,46,295,1200.0,False,17_241745000,26,17_241745000_6,,,,,False,14.800000000000011,Southeastbound,POINT (-78.050762 22.512521),False,True,False,False,in south channel,True,south,abnormal enter,1.0,7.0
5552,1,241745000,MARAN GAS ITHACA,9892717.0,SVDK7,22.431722,-77.922679,2023-06-19 01:25:00,19.0,123.4,122.0,0.0,1.0,80,11.4,11.4,235,60,25,21,FOR ORRDERS,,,46,295,1500.0,False,17_241745000,26,17_241745000_7,,,,,False,0.19999999999998863,Southeastbound,POINT (-77.922679 22.431722),False,True,False,False,in south channel,True,in south channel,same,0.0,7.0
5553,1,241745000,MARAN GAS ITHACA,9892717.0,SVDK7,22.418823,-77.901517,2023-06-19 01:30:00,19.0,123.6,122.0,0.0,1.0,80,11.4,11.4,235,60,25,21,FOR ORRDERS,,,46,295,300.0,False,17_241745000,26,17_241745000_8,,,,,False,0.19999999999998863,Southeastbound,POINT (-77.901517 22.418823),False,True,False,False,in south channel,True,in south channel,same,0.0,7.0
5554,1,241745000,MARAN GAS ITHACA,9892717.0,SVDK7,22.408016,-77.8839,2023-06-19 01:35:00,19.0,122.9,122.0,0.0,1.0,80,11.4,11.4,235,60,25,21,FOR ORRDERS,,,46,295,300.0,False,17_241745000,26,17_241745000_9,,,,,False,0.6999999999999886,Southeastbound,POINT (-77.8839 22.408016),False,True,False,False,in south channel,True,in south channel,same,0.0,7.0
