,MSG_TYPE,MMSI,NAME,IMO_NUMBER,CALL_SIGN,LAT_AVG,LON_AVG,PERIOD,SPEED_KNOTS,COG_DEG,HEADING_DEG,NAV_STATUS,NAV_SENSOR,SHIP_AND_CARGO_TYPE,DRAUGHT,DRAUGHT.1,DIM_BOW,DIM_STERN,DIM_PORT,DIM_STARBOARD,DESTINATION,MMSI_COUNTRY_CD,RECEIVER,BEAM,LENGTH,channel_side,time_diff,new_voyage,voyage_id,num_pings,cog_diff,geometry,in_channel_north,in_channel_south,north_of_channel,south_of_channel,location,correct_side,prev_location,location_diff,prev_coord,prev_sog,actual_dist,est_dist,dist_diff,row_score,voyage_score
1013,1,209729000,PROGRESO,9274264.0,P3ZH9,22.245081,-77.554427,2023-10-19 15:55:00,13.9,305.9,309.0,0.0,1.0,70,5.5,5.5,93,7,9,8,USPFN,CY,ORBCOMM-T,17,100,Northwestbound,414000.0,True,26_209729000,7,,POINT (-8633319.322404109 2540975.680223896),True,False,False,False,in north channel,True,,,,,,,,0,4
1014,1,209729000,PROGRESO,9274264.0,P3ZH9,22.255362,-77.569614,2023-10-19 16:00:00,14.0,305.4,309.0,0.0,1.0,70,5.5,5.5,93,7,9,8,USPFN,CY,ORBCOMM-T,17,100,Northwestbound,300.0,False,26_209729000,7,0.5,POINT (-8635009.931510784 2542212.230641757),True,False,False,False,in north channel,True,in north channel,same,POINT (-8633319.322404109 2540975.680223896),13.9,1.130983063708234,1.1583333333333332,0.027350269625099122,0,4
1015,1,209729000,PROGRESO,9274264.0,P3ZH9,22.313096,-77.654248,2023-10-19 16:25:00,14.2,306.1,309.0,0.0,1.0,70,5.5,5.5,93,7,9,8,USPFN,CY,ORBCOMM-T,17,100,Northwestbound,1500.0,False,26_209729000,7,0.7000000000000455,POINT (-8644431.345294582 2549157.8933418673),False,True,False,False,in south channel,False,in north channel,cross channel,POINT (-8635009.931510784 2542212.230641757),14.0,6.320191274712806,5.833333333333334,0.4868579413794718,2,4
1016,1,209729000,PROGRESO,9274264.0,P3ZH9,22.340047,-77.692768,2023-10-19 16:35:00,14.2,307.2,309.0,0.0,1.0,70,5.5,5.5,93,7,9,8,USPFN,CY,ORBCOMM-T,17,100,Northwestbound,600.0,False,26_209729000,7,1.099999999999966,POINT (-8648719.37207994 2552401.2041754792),False,True,False,False,in south channel,False,in south channel,same,POINT (-8644431.345294582 2549157.8933418673),14.2,2.903069160869437,2.3666666666666663,0.5364024942027705,1,4
1017,1,209729000,PROGRESO,9274264.0,P3ZH9,22.356395,-77.715949,2023-10-19 16:40:00,14.2,306.4,310.0,0.0,1.0,70,5.5,5.5,93,7,9,8,USPFN,CY,ORBCOMM-T,17,100,Northwestbound,300.0,False,26_209729000,7,0.8000000000000114,POINT (-8651299.869196018 2554368.844625178),True,False,False,False,in north channel,True,in south channel,cross channel,POINT (-8648719.37207994 2552401.2041754792),14.2,1.7522159009341094,1.1833333333333331,0.5688825676007763,1,4
1018,1,209729000,PROGRESO,9274264.0,P3ZH9,22.362788,-77.725019,2023-10-19 16:45:00,14.2,306.8,309.0,0.0,1.0,70,5.5,5.5,93,7,9,8,USPFN,CY,ORBCOMM-T,17,100,Northwestbound,300.0,False,26_209729000,7,0.4000000000000341,POINT (-8652309.536977513 2555138.367011126),True,False,False,False,in north channel,True,in north channel,same,POINT (-8651299.869196018 2554368.844625178),14.2,0.6854714536902208,1.1833333333333331,0.49786187964311235,0,4
1019,1,209729000,PROGRESO,9274264.0,P3ZH9,22.396244,-77.772118,2023-10-19 17:00:00,14.4,306.7,309.0,0.0,1.0,70,5.5,5.5,93,7,9,8,USPFN,CY,ORBCOMM-T,17,100,Northwestbound,900.0,False,26_209729000,7,0.10000000000002274,POINT (-8657552.573674386 2559166.0263578417),True,False,False,False,in north channel,True,in north channel,same,POINT (-8652309.536977513 2555138.367011126),14.2,3.5699268117528424,3.55,0.01992681175284261,0,4
1926,1,211828810,VEGA SCORPIO,9491599.0,DIEP2,22.613338,-78.083115,2023-01-26 01:25:00,16.5,298.6,299.0,5.0,1.0,72,8.0,8.0,127,12,12,11,SXPHI,DE,,23,139,Northwestbound,,True,1_211828810,5,,POINT (-8692172.601352623 2585324.9023352913),True,False,False,False,in north channel,True,,,,,,,,0,3
1927,1,211828810,VEGA SCORPIO,9491599.0,DIEP2,22.637256,-78.14466,2023-01-26 01:40:00,16.5,291.2,291.0,5.0,1.0,72,8.0,8.0,127,12,12,11,SXPHI,DE,,23,139,Northwestbound,900.0,False,1_211828810,5,7.400000000000034,POINT (-8699023.759413494 2588209.43420332),True,False,False,False,in north channel,True,in north channel,same,POINT (-8692172.601352623 2585324.9023352913),16.5,4.013864158490124,4.125,0.11113584150987599,0,3
1928,1,211828810,VEGA SCORPIO,9491599.0,DIEP2,22.684556,-78.296092,2023-01-26 02:10:00,16.1,288.3,288.0,5.0,1.0,72,8.0,8.0,127,12,12,11,SXPHI,DE,,23,139,Northwestbound,1800.0,False,1_211828810,5,2.8999999999999773,POINT (-8715881.0925433 2593915.3351033744),True,False,False,False,in north channel,True,in north channel,same,POINT (-8699023.759413494 2588209.43420332),16.5,9.609573706641394,8.25,1.3595737066413935,1,3
1929,1,211828810,VEGA SCORPIO,9491599.0,DIEP2,22.703035,-78.356954,2023-01-26 02:25:00,16.3,287.8,288.0,5.0,1.0,72,8.0,8.0,127,12,12,11,SXPHI,DE,,23,139,Northwestbound,900.0,False,1_211828810,5,0.5,POINT (-8722656.21939196 2596145.031351573),True,False,False,False,in north channel,True,in north channel,same,POINT (-8715881.0925433 2593915.3351033744),16.1,3.8513151536480876,4.025,0.17368484635191273,0,3
1930,1,211828810,VEGA SCORPIO,9491599.0,DIEP2,22.74293,-78.485762,2023-01-26 02:50:00,16.5,291.1,289.0,5.0,1.0,72,8.0,8.0,127,12,12,11,SXPHI,DE,,23,139,Northwestbound,1500.0,False,1_211828810,5,3.3000000000000114,POINT (-8736995.060362061 2600959.831867985),True,False,False,False,in north channel,True,in north channel,same,POINT (-8722656.21939196 2596145.031351573),16.3,8.16723484426515,6.791666666666667,1.3755681775984838,1,3
2211,1,212723000,BF FORTALEZA,9130432.0,5BWG2,22.355916,-77.7954,2024-02-09 14:45:00,14.0,124.2,121.0,0.0,1.0,70,6.7,6.7,113,8,12,6,BZBZE,CY,ORBCOMM-T,18,121,Southeastbound,13200.0,True,4_212723000,7,,POINT (-8660144.314059034 2554311.189043951),False,True,False,False,in south channel,True,,,,,,,,0,9
2212,1,212723000,BF FORTALEZA,9130432.0,5BWG2,22.338033,-77.768034,2024-02-09 14:55:00,14.1,124.8,122.0,0.0,1.0,70,6.7,6.7,113,8,12,6,BZBZE,CY,ORBCOMM-T,18,121,Southeastbound,600.0,False,4_212723000,7,0.5999999999999943,POINT (-8657097.944873985 2552158.815696171),False,False,False,True,south,,in south channel,abnormal exit,POINT (-8660144.314059034 2554311.189043951),14.0,2.0140635563228804,2.333333333333333,0.31926977701045267,2,9
2213,1,212723000,BF FORTALEZA,9130432.0,5BWG2,22.270783,-77.66495,2024-02-09 15:20:00,14.4,125.4,121.0,0.0,1.0,70,6.7,6.7,113,8,12,6,BZBZE,CY,ORBCOMM-T,18,121,Southeastbound,1500.0,False,4_212723000,7,0.6000000000000227,POINT (-8645622.686485054 2544067.1663932055),False,False,False,True,south,,south,same,POINT (-8657097.944873985 2552158.815696171),14.1,7.58170646597385,5.875,1.7067064659738502,2,9
2214,1,212723000,BF FORTALEZA,9130432.0,5BWG2,22.262988,-77.653022,2024-02-09 15:25:00,14.4,125.5,122.0,0.0,1.0,70,6.7,6.7,113,8,12,6,BZBZE,CY,ORBCOMM-T,18,121,Southeastbound,300.0,False,4_212723000,7,0.09999999999999432,POINT (-8644294.86759887 2543129.5087765646),False,False,False,True,south,,south,same,POINT (-8645622.686485054 2544067.1663932055),14.4,0.8777140402776634,1.2,0.32228595972233653,1,9
2215,3,212723000,BF FORTALEZA,9130432.0,5BWG2,22.258733,-77.647117,2024-02-09 15:30:00,14.6,132.2,129.0,0.0,1.0,70,6.7,6.7,113,8,12,6,BZBZE,CY,ORBCOMM-T,18,121,Southeastbound,300.0,False,4_212723000,7,6.699999999999989,POINT (-8643637.526005734 2542617.698462165),False,False,False,True,south,,south,same,POINT (-8644294.86759887 2543129.5087765646),14.4,0.4498381346594404,1.2,0.7501618653405595,1,9
2216,1,212723000,BF FORTALEZA,9130432.0,5BWG2,22.201966,-77.584067,2024-02-09 15:45:00,14.6,134.5,130.0,0.0,1.0,70,6.7,6.7,113,8,12,6,BZBZE,CY,ORBCOMM-T,18,121,Southeastbound,900.0,False,4_212723000,7,2.3000000000000114,POINT (-8636618.83211122 2535790.9980820455),False,False,False,True,south,,south,same,POINT (-8643637.526005734 2542617.698462165),14.6,5.2868096039588055,3.65,1.6368096039588056,2,9
2217,1,212723000,BF FORTALEZA,9130432.0,5BWG2,22.192951,-77.574052,2024-02-09 15:50:00,14.8,134.0,130.0,0.0,1.0,70,6.7,6.7,113,8,12,6,BZBZE,CY,ORBCOMM-T,18,121,Southeastbound,300.0,False,4_212723000,7,0.5,POINT (-8635503.967410926 2534707.124090898),False,False,False,True,south,,south,same,POINT (-8636618.83211122 2535790.9980820455),14.6,0.8395824355463658,1.2166666666666666,0.37708423112030076,1,9
