MSG_TYPE,MMSI,NAME,IMO_NUMBER,CALL_SIGN,LAT_AVG,LON_AVG,PERIOD,SPEED_KNOTS,COG_DEG,HEADING_DEG,NAV_STATUS,NAV_SENSOR,SHIP_AND_CARGO_TYPE,DRAUGHT,DRAUGHT,DIM_BOW,DIM_STERN,DIM_PORT,DIM_STARBOARD,DESTINATION,MMSI_COUNTRY_CD,RECEIVER
1,319982000,"INGOT",9520730,"ZCXS5",21.895788,-76.763807,2023-04-01 01:20:00.000,10.9,293.4,294,0,1,37,2.4,2.4,32,17,4,6,"SINT MAARTEN,NA","KY",ORBCOMM-T
1,319155500,"SIXTH SENSE",9799824,"ZGIJ",22.702266,-78.380400,2023-04-01 01:25:00.000,10.7,288.5,291,0,3,37,3.9,3.9,26,48,4,8,"USMIA","KY",None
1,319982000,"INGOT",9520730,"ZCXS5",21.898640,-76.771387,2023-04-01 01:25:00.000,11.3,292.2,294,0,1,37,2.4,2.4,32,17,4,6,"SINT MAARTEN,NA","KY",ORBCOMM-T
1,319982000,"INGOT",9520730,"ZCXS5",21.949919,-76.900911,2023-04-01 02:05:00.000,10.9,294.7,292,0,1,37,2.4,2.4,32,17,4,6,"SINT MAARTEN,NA","KY",ORBCOMM-T
1,319982000,"INGOT",9520730,"ZCXS5",21.971461,-76.955722,2023-04-01 02:25:00.000,10.9,293.1,293,0,1,37,2.4,2.4,32,17,4,6,"SINT MAARTEN,NA","KY",ORBCOMM-T
1,319982000,"INGOT",9520730,"ZCXS5",21.976581,-76.969150,2023-04-01 02:30:00.000,10.5,293.4,290,0,1,37,2.4,2.4,32,17,4,6,"SINT MAARTEN,NA","KY",ORBCOMM-T
1,319155500,"SIXTH SENSE",9799824,"ZGIJ",22.840683,-78.583179,2023-04-01 02:45:00.000,10.8,310.4,311,0,3,37,3.9,3.9,26,48,4,8,"USMIA","KY",None
1,319155500,"SIXTH SENSE",9799824,"ZGIJ",22.910485,-78.670084,2023-04-01 03:20:00.000,10.9,310.9,311,0,3,37,3.9,3.9,26,48,4,8,"USMIA","KY",None
1,319155500,"SIXTH SENSE",9799824,"ZGIJ",23.219970,-78.931424,2023-04-01 05:30:00.000,11.2,329.3,329,0,3,37,3.9,3.9,26,48,4,8,"USMIA","KY",None
1,319982000,"INGOT",9520730,"ZCXS5",22.448863,-77.801434,2023-04-01 07:30:00.000,10.7,306.8,308,0,1,37,2.4,2.4,32,17,4,6,"SINT MAARTEN,NA","KY",ORBCOMM-T
