,MSG_TYPE,MMSI,NAME,IMO_NUMBER,CALL_SIGN,LAT_AVG,LON_AVG,PERIOD,SPEED_KNOTS,COG_DEG,HEADING_DEG,NAV_STATUS,NAV_SENSOR,SHIP_AND_CARGO_TYPE,DRAUGHT,DRAUGHT.1,DIM_BOW,DIM_STERN,DIM_PORT,DIM_STARBOARD,DESTINATION,MMSI_COUNTRY_CD,RECEIVER,BEAM,LENGTH,CHANNEL_SIDE,time_diff,cog_diff,new_voyage,voyage_id,geometry,in_channel_north,in_channel_south,location,num_pings
215,1,205681000,WARISOULX,9659139.0,ONIE,22.78395,-78.744802,2023-01-24 01:15:00,15.3,110.4,109.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.19999999999998863,False,2_205681000,POINT (-78.744802 22.78395),False,True,in south channel,62
216,1,205681000,WARISOULX,9659139.0,ONIE,22.778973,-78.730237,2023-01-24 01:20:00,15.3,110.3,109.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.10000000000002274,False,2_205681000,POINT (-78.730237 22.778973),False,True,in south channel,62
217,1,205681000,WARISOULX,9659139.0,ONIE,22.771496,-78.70846,2023-01-24 01:25:00,15.3,110.6,110.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.30000000000001137,False,2_205681000,POINT (-78.70846 22.771496),False,True,in south channel,62
218,1,205681000,WARISOULX,9659139.0,ONIE,22.763378,-78.684977,2023-01-24 01:30:00,15.3,110.3,110.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.30000000000001137,False,2_205681000,POINT (-78.684977 22.763378),False,True,in south channel,62
219,1,205681000,WARISOULX,9659139.0,ONIE,22.752079,-78.652101,2023-01-24 01:35:00,15.3,110.5,110.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.19999999999998863,False,2_205681000,POINT (-78.652101 22.752079),False,True,in south channel,62
220,1,205681000,WARISOULX,9659139.0,ONIE,22.749181,-78.643702,2023-01-24 01:40:00,15.3,110.4,110.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.09999999999999432,False,2_205681000,POINT (-78.643702 22.749181),False,True,in south channel,62
221,1,205681000,WARISOULX,9659139.0,ONIE,22.741461,-78.62144,2023-01-24 01:45:00,15.4,110.5,109.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.09999999999999432,False,2_205681000,POINT (-78.62144 22.741461),False,True,in south channel,62
222,1,205681000,WARISOULX,9659139.0,ONIE,22.733908,-78.59954,2023-01-24 01:50:00,15.4,110.5,109.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.0,False,2_205681000,POINT (-78.59954 22.733908),False,True,in south channel,62
223,1,205681000,WARISOULX,9659139.0,ONIE,22.726045,-78.576692,2023-01-24 01:55:00,15.6,110.6,109.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.09999999999999432,False,2_205681000,POINT (-78.576692 22.726045),False,True,in south channel,62
224,1,205681000,WARISOULX,9659139.0,ONIE,22.718341,-78.55413,2023-01-24 02:00:00,15.7,110.1,109.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.5,False,2_205681000,POINT (-78.55413 22.718341),False,True,in south channel,62
225,1,205681000,WARISOULX,9659139.0,ONIE,22.710751,-78.531994,2023-01-24 02:05:00,15.6,110.6,110.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.5,False,2_205681000,POINT (-78.531994 22.710751),False,True,in south channel,62
226,1,205681000,WARISOULX,9659139.0,ONIE,22.70361,-78.511192,2023-01-24 02:10:00,15.7,110.5,111.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.09999999999999432,False,2_205681000,POINT (-78.511192 22.70361),False,True,in south channel,62
227,1,205681000,WARISOULX,9659139.0,ONIE,22.69578,-78.488834,2023-01-24 02:15:00,15.4,110.6,111.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.09999999999999432,False,2_205681000,POINT (-78.488834 22.69578),False,True,in south channel,62
228,1,205681000,WARISOULX,9659139.0,ONIE,22.688321,-78.467064,2023-01-24 02:20:00,15.3,110.6,111.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.0,False,2_205681000,POINT (-78.467064 22.688321),False,True,in south channel,62
229,1,205681000,WARISOULX,9659139.0,ONIE,22.680653,-78.444967,2023-01-24 02:25:00,15.3,110.4,110.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.19999999999998863,False,2_205681000,POINT (-78.444967 22.680653),False,True,in south channel,62
230,1,205681000,WARISOULX,9659139.0,ONIE,22.673078,-78.422845,2023-01-24 02:30:00,15.3,110.4,110.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.0,False,2_205681000,POINT (-78.422845 22.673078),False,True,in south channel,62
231,1,205681000,WARISOULX,9659139.0,ONIE,22.666031,-78.402505,2023-01-24 02:35:00,15.3,110.3,110.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.10000000000002274,False,2_205681000,POINT (-78.402505 22.666031),False,True,in south channel,62
232,1,205681000,WARISOULX,9659139.0,ONIE,22.658276,-78.379965,2023-01-24 02:40:00,15.3,110.4,110.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.10000000000002274,False,2_205681000,POINT (-78.379965 22.658276),False,True,in south channel,62
233,1,205681000,WARISOULX,9659139.0,ONIE,22.65065,-78.35784,2023-01-24 02:45:00,15.3,110.7,110.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.30000000000001137,False,2_205681000,POINT (-78.35784 22.65065),False,True,in south channel,62
234,1,205681000,WARISOULX,9659139.0,ONIE,22.643183,-78.336132,2023-01-24 02:50:00,15.3,110.2,109.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.5,False,2_205681000,POINT (-78.336132 22.643183),False,True,in south channel,62
235,1,205681000,WARISOULX,9659139.0,ONIE,22.633624,-78.308414,2023-01-24 02:55:00,15.3,110.2,109.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.0,False,2_205681000,POINT (-78.308414 22.633624),False,True,in south channel,62
236,1,205681000,WARISOULX,9659139.0,ONIE,22.628415,-78.293382,2023-01-24 03:00:00,15.3,110.6,109.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.39999999999997726,False,2_205681000,POINT (-78.293382 22.628415),False,True,in south channel,62
237,1,205681000,WARISOULX,9659139.0,ONIE,22.620591,-78.270722,2023-01-24 03:05:00,15.2,110.2,109.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.39999999999997726,False,2_205681000,POINT (-78.270722 22.620591),False,True,in south channel,62
238,1,205681000,WARISOULX,9659139.0,ONIE,22.610572,-78.241563,2023-01-24 03:10:00,15.2,110.4,109.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.19999999999998863,False,2_205681000,POINT (-78.241563 22.610572),False,True,in south channel,62
239,1,205681000,WARISOULX,9659139.0,ONIE,22.604548,-78.224107,2023-01-24 03:15:00,15.2,110.4,109.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.0,False,2_205681000,POINT (-78.224107 22.604548),False,True,in south channel,62
240,1,205681000,WARISOULX,9659139.0,ONIE,22.598325,-78.206079,2023-01-24 03:20:00,15.2,110.4,109.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.0,False,2_205681000,POINT (-78.206079 22.598325),False,True,in south channel,62
241,1,205681000,WARISOULX,9659139.0,ONIE,22.5909,-78.184649,2023-01-24 03:25:00,15.1,110.2,109.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.19999999999998863,False,2_205681000,POINT (-78.184649 22.5909),False,True,in south channel,62
242,1,205681000,WARISOULX,9659139.0,ONIE,22.583638,-78.16323,2023-01-24 03:30:00,15.1,110.6,109.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.39999999999997726,False,2_205681000,POINT (-78.16323 22.583638),False,True,in south channel,62
243,1,205681000,WARISOULX,9659139.0,ONIE,22.576653,-78.143134,2023-01-24 03:35:00,15.1,110.7,109.0,0.0,1.0,80,9.6,9.6,138,36,7,23,MAPTM>>MAJFL,BE,ORBCOMM-T,30,174,Southeastbound,300.0,0.10000000000002274,False,2_205681000,POINT (-78.143134 22.576653),False,True,in south channel,62
