target_len,teacher_forcing_ratio,learning_rate,MAE_m,MSE_m2,RMSE_m,best_val_loss,model_path,per_step_MAE_m,per_step_RMSE_m
1,0.2,0.01,67482.09375,6429698048.0,80185.39797244883,0.31352994335221424,grid_models\seq2seq_tlen1_tfr0.2_lr0.01.pt,67482.09,80185.40
1,0.2,0.04,71709.984375,6707603456.0,81899.96004883031,0.31397360476894653,grid_models\seq2seq_tlen1_tfr0.2_lr0.04.pt,71709.98,81899.96
1,0.2,0.06,67680.1953125,6451174400.0,80319.20318329858,0.3162442562845198,grid_models\seq2seq_tlen1_tfr0.2_lr0.06.pt,67680.20,80319.20
1,0.2,0.08,67588.921875,6474694144.0,80465.4841780002,0.31810377411328367,grid_models\seq2seq_tlen1_tfr0.2_lr0.08.pt,67588.92,80465.48
1,0.2,0.1,68202.65625,6413707776.0,80085.6277742767,0.3088568659715246,grid_models\seq2seq_tlen1_tfr0.2_lr0.1.pt,68202.66,80085.62
1,0.3,0.01,67491.7890625,6430667776.0,80191.44453119671,0.31367242220195307,grid_models\seq2seq_tlen1_tfr0.3_lr0.01.pt,67491.79,80191.45
1,0.3,0.04,71505.625,6686876160.0,81773.32181096717,0.3132878879652075,grid_models\seq2seq_tlen1_tfr0.3_lr0.04.pt,71505.62,81773.32
1,0.3,0.06,72066.046875,6740947968.0,82103.2762318289,0.3154711878548066,grid_models\seq2seq_tlen1_tfr0.3_lr0.06.pt,72066.05,82103.27
1,0.3,0.08,69515.7421875,6500289536.0,80624.37308903555,0.3082728591221182,grid_models\seq2seq_tlen1_tfr0.3_lr0.08.pt,69515.74,80624.38
1,0.3,0.1,67798.0234375,6498893824.0,80615.7169787629,0.3159216906187003,grid_models\seq2seq_tlen1_tfr0.3_lr0.1.pt,67798.02,80615.72
1,0.4,0.01,67485.5546875,6431581184.0,80197.13950010935,0.3137424337050027,grid_models\seq2seq_tlen1_tfr0.4_lr0.01.pt,67485.55,80197.14
1,0.4,0.04,67636.328125,6455314944.0,80344.97460326937,0.31657631520478835,grid_models\seq2seq_tlen1_tfr0.4_lr0.04.pt,67636.33,80344.98
1,0.4,0.06,68676.46875,6452598272.0,80328.06652721077,0.3134307424821284,grid_models\seq2seq_tlen1_tfr0.4_lr0.06.pt,68676.47,80328.07
1,0.4,0.08,68026.953125,6439790080.0,80248.30266117782,0.3146844177061449,grid_models\seq2seq_tlen1_tfr0.4_lr0.08.pt,68026.95,80248.30
1,0.4,0.1,67503.9140625,6391508992.0,79946.91358645435,0.3079438790867942,grid_models\seq2seq_tlen1_tfr0.4_lr0.1.pt,67503.91,79946.91
1,0.5,0.01,67503.25,6431827968.0,80198.67809384392,0.3138383599166907,grid_models\seq2seq_tlen1_tfr0.5_lr0.01.pt,67503.25,80198.68
1,0.5,0.04,71789.21875,6713750016.0,81937.47626086613,0.314400137361625,grid_models\seq2seq_tlen1_tfr0.5_lr0.04.pt,71789.22,81937.48
1,0.5,0.06,67905.75,6436480512.0,80227.6792135981,0.31451347799620766,grid_models\seq2seq_tlen1_tfr0.5_lr0.06.pt,67905.75,80227.68
1,0.5,0.08,68382.703125,6420523008.0,80128.16613401308,0.30792859500355046,grid_models\seq2seq_tlen1_tfr0.5_lr0.08.pt,68382.70,80128.16
1,0.5,0.1,69502.4140625,6497285120.0,80605.73875351556,0.31363530556900776,grid_models\seq2seq_tlen1_tfr0.5_lr0.1.pt,69502.41,80605.74
1,0.6,0.01,67468.4453125,6431879680.0,80199.00049252484,0.31369377443890856,grid_models\seq2seq_tlen1_tfr0.6_lr0.01.pt,67468.45,80199.00
1,0.6,0.04,68204.8125,6446711808.0,80291.41802210246,0.3150840217004652,grid_models\seq2seq_tlen1_tfr0.6_lr0.04.pt,68204.81,80291.42
1,0.6,0.06,68953.5703125,6464663040.0,80403.12829734922,0.31322152009638754,grid_models\seq2seq_tlen1_tfr0.6_lr0.06.pt,68953.57,80403.12
1,0.6,0.08,68866.9765625,6449650688.0,80309.71727007884,0.3093172603327295,grid_models\seq2seq_tlen1_tfr0.6_lr0.08.pt,68866.98,80309.72
1,0.6,0.1,69554.3671875,6611356672.0,81310.24948922491,0.309777383044686,grid_models\seq2seq_tlen1_tfr0.6_lr0.1.pt,69554.37,81310.25
1,0.7,0.01,67484.3671875,6432002560.0,80199.76658320148,0.313780944308509,grid_models\seq2seq_tlen1_tfr0.7_lr0.01.pt,67484.37,80199.77
1,0.7,0.04,69720.4453125,6519754752.0,80744.99830949283,0.3162887626719,grid_models\seq2seq_tlen1_tfr0.7_lr0.04.pt,69720.45,80745.00
1,0.7,0.06,67963.4296875,6436183040.0,80225.82526842588,0.3143615042520822,grid_models\seq2seq_tlen1_tfr0.7_lr0.06.pt,67963.43,80225.83
1,0.7,0.08,70956.8046875,6634315264.0,81451.30609143109,0.31138628359506093,grid_models\seq2seq_tlen1_tfr0.7_lr0.08.pt,70956.80,81451.30
1,0.7,0.1,67350.734375,6419234304.0,80120.1242135832,0.3112726382340939,grid_models\seq2seq_tlen1_tfr0.7_lr0.1.pt,67350.73,80120.12
5,0.2,0.01,73765.0234375,7121985024.0,84391.85401447228,0.3448129699099809,grid_models\seq2seq_tlen5_tfr0.2_lr0.01.pt,"73295.21,73131.51,73595.42,74142.36,74660.62","83288.88,83727.56,84348.36,84980.77,85593.24"
5,0.2,0.04,71701.6640625,6836724224.0,82684.48599344377,0.3158233284484595,grid_models\seq2seq_tlen5_tfr0.2_lr0.04.pt,"71905.59,70318.14,71544.41,72135.60,72604.53","86420.90,80725.78,81492.38,82068.33,82596.46"
