MSG_TYPE,MMSI,NAME,IMO_NUMBER,CALL_SIGN,LAT_AVG,LON_AVG,PERIOD,SPEED_KNOTS,COG_DEG,HEADING_DEG,NAV_STATUS,NAV_SENSOR,SHIP_AND_CARGO_TYPE,DRAUGHT,DRAUGHT,DIM_BOW,DIM_STERN,DIM_PORT,DIM_STARBOARD,DESTINATION,MMSI_COUNTRY_CD,RECEIVER
1,538071877,"HERMETICA",0,"V7A6005",22.143646,-77.403854,2023-04-02 01:20:00.000,10.8,299.6,299,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",22.211980,-77.493790,2023-04-02 02:00:00.000,10.7,314.0,308,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",22.649060,-78.181684,2023-04-02 06:20:00.000,10.6,288.9,291,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",22.654961,-78.199887,2023-04-02 06:25:00.000,10.8,286.4,289,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",22.957658,-78.796590,2023-04-02 10:05:00.000,10.9,332.0,331,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",22.976418,-78.805925,2023-04-02 10:10:00.000,10.8,328.0,330,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",22.981775,-78.809427,2023-04-02 10:15:00.000,10.0,327.1,329,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",22.998231,-78.820339,2023-04-02 10:20:00.000,9.8,327.0,328,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.004815,-78.824522,2023-04-02 10:25:00.000,9.7,329.5,333,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.016050,-78.831472,2023-04-02 10:30:00.000,9.9,329.1,330,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.028418,-78.839087,2023-04-02 10:35:00.000,9.8,330.8,333,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.040198,-78.845839,2023-04-02 10:40:00.000,9.9,333.2,335,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.052841,-78.852590,2023-04-02 10:45:00.000,9.8,333.6,337,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.064276,-78.858544,2023-04-02 10:50:00.000,9.8,337.3,337,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.077173,-78.864849,2023-04-02 10:55:00.000,10.0,334.9,334,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.090381,-78.871714,2023-04-02 11:00:00.000,9.9,334.3,332,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.101581,-78.877537,2023-04-02 11:05:00.000,9.9,333.9,331,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.113566,-78.883907,2023-04-02 11:10:00.000,10.0,332.1,331,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.126563,-78.891515,2023-04-02 11:15:00.000,10.0,332.3,328,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.137971,-78.898290,2023-04-02 11:20:00.000,10.0,331.0,330,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.151538,-78.906114,2023-04-02 11:25:00.000,10.0,330.3,330,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.163631,-78.912842,2023-04-02 11:30:00.000,10.1,334.8,330,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.175291,-78.919614,2023-04-02 11:35:00.000,10.3,332.3,329,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.188103,-78.926915,2023-04-02 11:40:00.000,10.0,331.3,329,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.200138,-78.933975,2023-04-02 11:45:00.000,9.7,331.1,323,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.211626,-78.941065,2023-04-02 11:50:00.000,9.8,331.2,324,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.225030,-78.949147,2023-04-02 11:55:00.000,9.8,331.4,325,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.235445,-78.955222,2023-04-02 12:00:00.000,10.0,331.2,328,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.248563,-78.962865,2023-04-02 12:05:00.000,10.0,330.8,325,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.261248,-78.970249,2023-04-02 12:10:00.000,10.1,333.0,325,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.273181,-78.977205,2023-04-02 12:15:00.000,9.9,331.9,324,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.285085,-78.984360,2023-04-02 12:20:00.000,10.1,329.1,326,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.298015,-78.992537,2023-04-02 12:25:00.000,9.7,329.0,327,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.308486,-78.999359,2023-04-02 12:30:00.000,9.8,329.5,326,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.323998,-79.009152,2023-04-02 12:35:00.000,10.0,332.3,332,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
1,538071877,"HERMETICA",0,"V7A6005",23.334186,-79.015124,2023-04-02 12:40:00.000,9.9,332.1,333,0,1,36,4.6,4.6,50,3,2,7,"BVI","MH",None
18,232040762,"FAITH",None,"MLAB6",22.022670,-76.912079,2023-04-03 02:20:00.000,5.7,292.8,None,None,None,36,None,None,6,5,1,2,"","GB",None
18,232040762,"FAITH",None,"MLAB6",22.041338,-76.983815,2023-04-03 03:10:00.000,5.4,290.0,None,None,None,36,None,None,6,5,1,2,"","GB",None
18,232040762,"FAITH",None,"MLAB6",22.043543,-76.989989,2023-04-03 03:15:00.000,4.7,293.6,None,None,None,36,None,None,6,5,1,2,"","GB",None
18,232040762,"FAITH",None,"MLAB6",22.045880,-76.996960,2023-04-03 03:20:00.000,5.1,279.2,None,None,None,36,None,None,6,5,1,2,"","GB",None
18,232040762,"FAITH",None,"MLAB6",22.048330,-77.003795,2023-04-03 03:25:00.000,5.6,291.0,None,None,None,36,None,None,6,5,1,2,"","GB",None
18,232040762,"FAITH",None,"MLAB6",22.050743,-77.010429,2023-04-03 03:30:00.000,5.0,301.1,None,None,None,36,None,None,6,5,1,2,"","GB",None
18,232040762,"FAITH",None,"MLAB6",23.069299,-79.069950,2023-04-04 08:35:00.000,5.0,309.3,None,None,None,36,None,None,6,5,1,2,"","GB",None
1,338327000,"DENIS SULLIVAN",0,"WDA2917",21.904610,-76.747840,2023-04-11 15:30:00.000,5.6,299.6,294,0,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",21.970248,-76.891947,2023-04-11 17:05:00.000,5.6,289.0,290,0,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.005690,-76.983670,2023-04-11 18:05:00.000,5.3,293.7,294,0,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.039066,-77.073747,2023-04-11 19:10:00.000,5.3,289.6,289,0,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.042758,-77.083767,2023-04-11 19:15:00.000,5.4,293.2,293,0,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.056710,-77.135514,2023-04-11 19:55:00.000,5.6,284.0,291,8,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.060998,-77.151394,2023-04-11 20:05:00.000,4.5,283.9,289,8,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.071533,-77.183480,2023-04-11 20:35:00.000,4.7,297.9,303,8,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.276848,-77.508834,2023-04-12 00:00:00.000,6.3,301.9,307,8,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.357609,-77.642407,2023-04-12 01:40:00.000,5.4,318.0,318,0,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
18,316039045,"AUPALUK II",None,"AUPALUK",22.774003,-77.729085,2023-04-12 02:00:00.000,5.7,145.4,None,None,None,36,None,None,7,7,4,4,"","CA",rORBCOMM000
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.377356,-77.668327,2023-04-12 02:00:00.000,5.2,314.8,311,0,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.387466,-77.680880,2023-04-12 02:10:00.000,5.7,312.5,315,0,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
3,338327000,"DENIS SULLIVAN",0,"WDA2917",22.392745,-77.687487,2023-04-12 02:15:00.000,5.8,317.3,317,0,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.393151,-77.687940,2023-04-12 02:20:00.000,5.6,311.7,310,0,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.428318,-77.730847,2023-04-12 02:50:00.000,5.5,306.0,310,0,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
3,338327000,"DENIS SULLIVAN",0,"WDA2917",22.496728,-77.818147,2023-04-12 03:55:00.000,4.4,319.3,316,0,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.628276,-78.076580,2023-04-12 06:55:00.000,4.6,287.3,290,8,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.631135,-78.083660,2023-04-12 07:00:00.000,5.6,300.1,287,8,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.634074,-78.091215,2023-04-12 07:05:00.000,5.0,293.0,280,8,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.642053,-78.112402,2023-04-12 07:20:00.000,4.6,292.4,290,8,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
18,316039045,"AUPALUK II",None,"AUPALUK",22.944745,-77.370879,2023-04-12 07:20:00.000,6.7,170.0,None,None,None,36,None,None,7,7,4,4,"","CA",rORBCOMM000
18,316039045,"AUPALUK II",None,"AUPALUK",22.891530,-77.352859,2023-04-12 07:55:00.000,6.4,165.7,None,None,None,36,None,None,7,7,4,4,"","CA",rORBCOMM000
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.662460,-78.166007,2023-04-12 07:55:00.000,5.7,304.3,292,8,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.673441,-78.192267,2023-04-12 08:10:00.000,5.2,300.7,284,8,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.683003,-78.211757,2023-04-12 08:25:00.000,4.8,300.3,292,8,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.685445,-78.216880,2023-04-12 08:30:00.000,4.4,296.1,286,8,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.690165,-78.226820,2023-04-12 08:35:00.000,5.2,290.2,290,8,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.702356,-78.252794,2023-04-12 08:55:00.000,5.2,298.0,292,8,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.717318,-78.283947,2023-04-12 09:15:00.000,5.4,302.4,296,8,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.720220,-78.290207,2023-04-12 09:20:00.000,5.1,294.3,288,8,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.720626,-78.291440,2023-04-12 09:25:00.000,5.2,284.7,285,8,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.727218,-78.307447,2023-04-12 09:35:00.000,4.8,285.4,286,8,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
3,338327000,"DENIS SULLIVAN",0,"WDA2917",22.744674,-78.341443,2023-04-12 10:05:00.000,3.7,304.1,305,8,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.746691,-78.345007,2023-04-12 10:10:00.000,3.9,303.9,290,8,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.839152,-78.494953,2023-04-12 11:50:00.000,6.0,303.5,299,0,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",22.918666,-78.621894,2023-04-12 13:40:00.000,3.8,311.2,300,0,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,338327000,"DENIS SULLIVAN",0,"WDA2917",23.024536,-78.764180,2023-04-12 15:20:00.000,5.6,322.8,329,0,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
3,338327000,"DENIS SULLIVAN",0,"WDA2917",23.061825,-78.796760,2023-04-12 15:50:00.000,4.9,313.2,315,0,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
3,338327000,"DENIS SULLIVAN",0,"WDA2917",23.209391,-78.893894,2023-04-12 18:00:00.000,4.4,336.9,333,0,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
3,338327000,"DENIS SULLIVAN",0,"WDA2917",23.246611,-78.913380,2023-04-12 18:35:00.000,4.3,325.1,317,0,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
3,338327000,"DENIS SULLIVAN",0,"WDA2917",23.252913,-78.917260,2023-04-12 18:40:00.000,4.6,324.4,326,0,15,36,2.8,2.8,20,22,8,0,"ST. CROIX, USVI","US",ORBCOMM-T
1,366724450,"SSV CORWITH CRAMER",8617445,"WTF3319",21.825143,-76.754352,2023-04-13 09:05:00.000,7.5,286.5,290,0,1,36,0.0,0.0,27,15,6,2,"ST CROIX GALLOWS BAY","US",ORBCOMM-T
1,366724450,"SSV CORWITH CRAMER",8617445,"WTF3319",21.870116,-76.879132,2023-04-13 10:05:00.000,7.5,296.1,295,0,1,36,0.0,0.0,27,15,6,2,"ST CROIX GALLOWS BAY","US",ORBCOMM-T
1,366724450,"SSV CORWITH CRAMER",8617445,"WTF3319",22.032106,-77.205334,2023-04-13 12:40:00.000,7.7,305.6,301,0,1,36,0.0,0.0,27,15,6,2,"ST CROIX GALLOWS BAY","US",ORBCOMM-T
1,366724450,"SSV CORWITH CRAMER",8617445,"WTF3319",22.086821,-77.305212,2023-04-13 13:30:00.000,7.7,304.7,302,0,1,36,0.0,0.0,27,15,6,2,"ST CROIX GALLOWS BAY","US",ORBCOMM-T
1,366724450,"SSV CORWITH CRAMER",8617445,"WTF3319",22.751433,-78.501494,2023-04-14 00:20:00.000,8.0,299.7,298,0,1,36,0.0,0.0,27,15,6,2,"ST CROIX GALLOWS BAY","US",ORBCOMM-T
