,MMSI,NAME,LAT_AVG,LON_AVG,PERIOD,SPEED_KNOTS,COG_DEG,HEADING_DEG,NAV_STATUS,SHIP_AND_CARGO_TYPE,DRAUGHT,DIM_BOW,DIM_STERN,DIM_PORT,DIM_STARBOARD,BEAM,LENGTH,channel_side,time_diff,new_voyage,voyage_id
72,338327000,DENIS SULLIVAN,21.90461,-76.74784,2023-04-11 15:30:00,5.6,299.6,294.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,0.0,True,1_338327000
73,338327000,DENIS SULLIVAN,21.970248,-76.891947,2023-04-11 17:05:00,5.6,289.0,290.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,5700.0,False,1_338327000
74,338327000,DENIS SULLIVAN,22.00569,-76.98367,2023-04-11 18:05:00,5.3,293.7,294.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,3600.0,False,1_338327000
75,338327000,DENIS SULLIVAN,22.039066,-77.073747,2023-04-11 19:10:00,5.3,289.6,289.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,3900.0,False,1_338327000
76,338327000,DENIS SULLIVAN,22.042758,-77.083767,2023-04-11 19:15:00,5.4,293.2,293.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,1_338327000
77,338327000,DENIS SULLIVAN,22.05671,-77.135514,2023-04-11 19:55:00,5.6,284.0,291.0,8.0,36,2.8,20,22,8,0,8,42,Northwestbound,2400.0,False,1_338327000
78,338327000,DENIS SULLIVAN,22.060998,-77.151394,2023-04-11 20:05:00,4.5,283.9,289.0,8.0,36,2.8,20,22,8,0,8,42,Northwestbound,600.0,False,1_338327000
79,338327000,DENIS SULLIVAN,22.071533,-77.18348,2023-04-11 20:35:00,4.7,297.9,303.0,8.0,36,2.8,20,22,8,0,8,42,Northwestbound,1800.0,False,1_338327000
80,338327000,DENIS SULLIVAN,22.276848,-77.508834,2023-04-12 00:00:00,6.3,301.9,307.0,8.0,36,2.8,20,22,8,0,8,42,Northwestbound,12300.0,True,2_338327000
81,338327000,DENIS SULLIVAN,22.357609,-77.642407,2023-04-12 01:40:00,5.4,318.0,318.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,6000.0,False,2_338327000
82,338327000,DENIS SULLIVAN,22.377356,-77.668327,2023-04-12 02:00:00,5.2,314.8,311.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,1200.0,False,2_338327000
83,338327000,DENIS SULLIVAN,22.387466,-77.68088,2023-04-12 02:10:00,5.7,312.5,315.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,600.0,False,2_338327000
84,338327000,DENIS SULLIVAN,22.392745,-77.687487,2023-04-12 02:15:00,5.8,317.3,317.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,2_338327000
85,338327000,DENIS SULLIVAN,22.393151,-77.68794,2023-04-12 02:20:00,5.6,311.7,310.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,2_338327000
86,338327000,DENIS SULLIVAN,22.428318,-77.730847,2023-04-12 02:50:00,5.5,306.0,310.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,1800.0,False,2_338327000
87,338327000,DENIS SULLIVAN,22.496728,-77.818147,2023-04-12 03:55:00,4.4,319.3,316.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,3900.0,False,2_338327000
88,338327000,DENIS SULLIVAN,22.628276,-78.07658,2023-04-12 06:55:00,4.6,287.3,290.0,8.0,36,2.8,20,22,8,0,8,42,Northwestbound,10800.0,False,2_338327000
89,338327000,DENIS SULLIVAN,22.631135,-78.08366,2023-04-12 07:00:00,5.6,300.1,287.0,8.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,2_338327000
90,338327000,DENIS SULLIVAN,22.634074,-78.091215,2023-04-12 07:05:00,5.0,293.0,280.0,8.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,2_338327000
91,338327000,DENIS SULLIVAN,22.642053,-78.112402,2023-04-12 07:20:00,4.6,292.4,290.0,8.0,36,2.8,20,22,8,0,8,42,Northwestbound,900.0,False,2_338327000
92,338327000,DENIS SULLIVAN,22.66246,-78.166007,2023-04-12 07:55:00,5.7,304.3,292.0,8.0,36,2.8,20,22,8,0,8,42,Northwestbound,2100.0,False,2_338327000
93,338327000,DENIS SULLIVAN,22.673441,-78.192267,2023-04-12 08:10:00,5.2,300.7,284.0,8.0,36,2.8,20,22,8,0,8,42,Northwestbound,900.0,False,2_338327000
94,338327000,DENIS SULLIVAN,22.683003,-78.211757,2023-04-12 08:25:00,4.8,300.3,292.0,8.0,36,2.8,20,22,8,0,8,42,Northwestbound,900.0,False,2_338327000
95,338327000,DENIS SULLIVAN,22.685445,-78.21688,2023-04-12 08:30:00,4.4,296.1,286.0,8.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,2_338327000
96,338327000,DENIS SULLIVAN,22.690165,-78.22682,2023-04-12 08:35:00,5.2,290.2,290.0,8.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,2_338327000
97,338327000,DENIS SULLIVAN,22.702356,-78.252794,2023-04-12 08:55:00,5.2,298.0,292.0,8.0,36,2.8,20,22,8,0,8,42,Northwestbound,1200.0,False,2_338327000
98,338327000,DENIS SULLIVAN,22.717318,-78.283947,2023-04-12 09:15:00,5.4,302.4,296.0,8.0,36,2.8,20,22,8,0,8,42,Northwestbound,1200.0,False,2_338327000
99,338327000,DENIS SULLIVAN,22.72022,-78.290207,2023-04-12 09:20:00,5.1,294.3,288.0,8.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,2_338327000
100,338327000,DENIS SULLIVAN,22.720626,-78.29144,2023-04-12 09:25:00,5.2,284.7,285.0,8.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,2_338327000
101,338327000,DENIS SULLIVAN,22.727218,-78.307447,2023-04-12 09:35:00,4.8,285.4,286.0,8.0,36,2.8,20,22,8,0,8,42,Northwestbound,600.0,False,2_338327000
102,338327000,DENIS SULLIVAN,22.744674,-78.341443,2023-04-12 10:05:00,3.7,304.1,305.0,8.0,36,2.8,20,22,8,0,8,42,Northwestbound,1800.0,False,2_338327000
103,338327000,DENIS SULLIVAN,22.746691,-78.345007,2023-04-12 10:10:00,3.9,303.9,290.0,8.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,2_338327000
104,338327000,DENIS SULLIVAN,22.839152,-78.494953,2023-04-12 11:50:00,6.0,303.5,299.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,6000.0,False,2_338327000
105,338327000,DENIS SULLIVAN,22.918666,-78.621894,2023-04-12 13:40:00,3.8,311.2,300.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,6600.0,False,2_338327000
